これから折々お宅へ伺っても宜ござんすか	ええいらっしゃい
それから英国へ移って論じますと、ベオウルフの中に絞首架即ちガルガと申す字が見えますから絞罪の刑はこの時代から行われたものに違ないと思われます。ブラクストーンの説によるともし絞罪に処せられる罪人が、万一縄の具合で死に切れぬ時は再度同様の刑罰を受くべきものだとしてありますが、妙な事にはピヤース・プローマンの中には仮令兇漢でも二度絞める法はないと云う句があるのです。まあどっちが本当か知りませんが、悪くすると一度で死ねない事が往々実例にあるので。千七百八十六年に有名なフツ・ゼラルドと云う悪漢を絞めた事がありました。ところが妙なはずみで一度目には台から飛び降りるときに縄が切れてしまったのです。またやり直すと今度は縄が長過ぎて足が地面へ着いたのでやはり死ねなかったのです。とうとう三返目に見物人が手伝って往生さしたと云う話しです	やれやれ
本当に死に損いだな	まだ面白い事があります首を縊ると背が一寸ばかり延びるそうです。これはたしかに医者が計って見たのだから間違はありません
寒月君、一寸くらい背が延びて生き返る事があるだろうか	それは駄目に極っています。釣られて脊髄が延びるからなんで、早く云うと背が延びると云うより壊れるんですからね
知らん、近頃は合わんから	きょうはその東風子の失策物語を御報道に及ぼうと思って忙しいところをわざわざ来たんだよ
またそんな仰山な事を云う、君は全体不埒な男だ	ハハハハハ不埒と云わんよりむしろ無埒の方だろう。それだけはちょっと区別しておいて貰わんと名誉に関係するからな
この前の日曜に東風子が高輪泉岳寺に行ったんだそうだ。この寒いのによせばいいのに――第一今時泉岳寺などへ参るのはさも東京を知らない、田舎者のようじゃないか	それは東風の勝手さ。君がそれを留める権利はない
なるほど権利は正にない。権利はどうでもいいが、あの寺内に義士遺物保存会と云う見世物があるだろう。君知ってるか	うんにゃ
知らない？　だって泉岳寺へ行った事はあるだろう	いいや
ない？　こりゃ驚ろいた。道理で大変東風を弁護すると思った。江戸っ子が泉岳寺を知らないのは情けない	知らなくても教師は務まるからな
そりゃ好いが、その展覧場へ東風が這入って見物していると、そこへ独逸人が夫婦連で来たんだって。それが最初は日本語で東風に何か質問したそうだ。ところが先生例の通り独逸語が使って見たくてたまらん男だろう。そら二口三口べらべらやって見たとさ。すると存外うまく出来たんだ――あとで考えるとそれが災の本さね	それからどうした
独逸人が大鷹源吾の蒔絵の印籠を見て、これを買いたいが売ってくれるだろうかと聞くんだそうだ。その時東風の返事が面白いじゃないか、日本人は清廉の君子ばかりだから到底駄目だと云ったんだとさ。その辺は大分景気がよかったが、それから独逸人の方では恰好な通弁を得たつもりでしきりに聞くそうだ	何を？
それがさ、何だか分るくらいなら心配はないんだが、早口で無暗に問い掛けるものだから少しも要領を得ないのさ。たまに分るかと思うと鳶口や掛矢の事を聞かれる。西洋の鳶口や掛矢は先生何と翻訳して善いのか習った事が無いんだから弱わらあね	もっともだ
ところへ閑人が物珍しそうにぽつぽつ集ってくる。仕舞には東風と独逸人を四方から取り巻いて見物する。東風は顔を赤くしてへどもどする。初めの勢に引き易えて先生大弱りの体さ	結局どうなったんだい
仕舞に東風が我慢出来なくなったと見えてさいならと日本語で云ってぐんぐん帰って来たそうだ、さいならは少し変だ君の国ではさよならをさいならと云うかって聞いて見たら何やっぱりさよならですが相手が西洋人だから調和を計るために、さいならにしたんだって、東風子は苦しい時でも調和を忘れない男だと感心した	さいならはいいが西洋人はどうした
西洋人はあっけに取られて茫然と見ていたそうだハハハハ面白いじゃないか	別段面白い事もないようだ。それをわざわざ報知に来る君の方がよっぽど面白いぜ
どうも結構な御住居ですこと	嘘をつけ
君、ありゃ雨洩りか、板の木目か、妙な模様が出ているぜ	無論雨の洩りさ
ちと伺いたい事があって、参ったんですが	はあ
